"age";"male";"female"
"0";345711;327669
"1";359324;341616
"2";381737;362425
"3";408588;388442
"4";401941;381675
"5";406334;386208
"6";412788;393635
"7";417958;398060
"8";421468;402942
"9";411928;390245
"10";408704;388660
"11";395693;375313
"12";396748;374992
"13";390569;369492
"14";400445;378585
"15";396987;372470
"16";410051;382290
"17";414762;378587
"18";417380;375521
"19";428525;389474
"20";439038;404278
"21";431611;403296
"22";445743;412099
"23";466383;427140
"24";499156;453404
"25";512103;456360
"26";522924;471421
"27";534901;485393
"28";522998;478003
"29";511731;469159
"30";513580;474708
"31";525469;489720
"32";533276;500114
"33";545896;514613
"34";591948;559939
"35";583980;555340
"36";597408;568090
"37";584733;558292
"38";571609;553313
"39";554834;537232
"40";548698;534827
"41";547239;536219
"42";554229;545065
"43";544539;542203
"44";545081;542920
"45";516796;516049
"46";507549;506496
"47";500753;498734
"48";487580;489125
"49";473306;474209
"50";476712;479635
"51";477107;480293
"52";516152;519168
"53";568020;570043
"54";585717;587944
"55";627136;624660
"56";652162;649172
"57";663037;661833
"58";675971;675465
"59";671920;672232
"60";677384;683354
"61";664741;675001
"62";638982;655362
"63";623672;646118
"64";591664;622615
"65";566841;602401
"66";527278;564556
"67";510614;548815
"68";492383;532211
"69";465849;514005
"70";445925;503311
"71";420723;483836
"72";411790;478250
"73";395518;463647
"74";385297;457397
"75";363449;433983
"76";323690;387339
"77";293384;358566
"78";244270;306101
"79";204397;264409
"80";263460;343681
"81";254963;338812
"82";233636;319365
"83";264916;376674
"84";254036;379493
"85";229099;353820
"86";191010;306265
"87";157132;262441
"88";129109;227508
"89";103278;193202
"90";77684;155640
"91";49367;104720
"92";37693;86925
"93";28764;71683
"94";22000;59746
"95";15130;43329
"96";10303;32072
"97";6491;21961
"98";3918;15147
"99";2298;10167
"100+";2897;15004